13-06-2023 17:51:15.403 INFO: Incoming request | #1 | resource: /todo | HTTP Verb: POST  | request #1
13-06-2023 17:51:40.803 INFO: Incoming request | #2 | resource: /todo | HTTP Verb: POST  | request #2
13-06-2023 17:51:48.513 INFO: Incoming request | #3 | resource: /todo/size | HTTP Verb: GET  | request #3
13-06-2023 17:52:00.400 INFO: Incoming request | #4 | resource: /todo/size | HTTP Verb: GET  | request #4
13-06-2023 17:52:07.636 INFO: Incoming request | #5 | resource: /todo | HTTP Verb: PUT  | request #5
13-06-2023 17:54:01.893 INFO: Incoming request | #1 | resource: /todo | HTTP Verb: PUT  | request #1
13-06-2023 17:55:14.700 INFO: Incoming request | #1 | resource: /todo | HTTP Verb: PUT  | request #1
13-06-2023 17:56:19.295 INFO: Incoming request | #1 | resource: /todo | HTTP Verb: POST  | request #1
13-06-2023 17:56:21.593 INFO: Incoming request | #2 | resource: /todo | HTTP Verb: POST  | request #2
13-06-2023 17:56:26.598 INFO: Incoming request | #3 | resource: /todo | HTTP Verb: PUT  | request #3
13-06-2023 17:57:43.367 INFO: Incoming request | #1 | resource: /todo | HTTP Verb: POST  | request #1
13-06-2023 17:57:45.049 INFO: Incoming request | #2 | resource: /todo | HTTP Verb: POST  | request #2
13-06-2023 17:57:47.962 INFO: Incoming request | #3 | resource: /todo | HTTP Verb: PUT  | request #3
13-06-2023 17:58:00.209 INFO: Incoming request | #4 | resource: /todo/size | HTTP Verb: GET  | request #4
13-06-2023 17:58:08.227 INFO: Incoming request | #5 | resource: /logs/level | HTTP Verb: PUT  | request #5
13-06-2023 17:58:15.421 INFO: Incoming request | #6 | resource: /todo | HTTP Verb: POST  | request #6
13-06-2023 17:58:22.620 INFO: Incoming request | #7 | resource: /todo/content | HTTP Verb: GET  | request #7
13-06-2023 17:58:43.211 INFO: Incoming request | #8 | resource: /todo | HTTP Verb: DELETE  | request #8
13-06-2023 17:58:52.049 INFO: Incoming request | #9 | resource: /todo/size | HTTP Verb: GET  | request #9
13-06-2023 17:58:58.729 INFO: Incoming request | #10 | resource: /todo | HTTP Verb: PUT  | request #10
13-06-2023 17:59:05.847 INFO: Incoming request | #11 | resource: /todo/content | HTTP Verb: GET  | request #11
